SampleNumber,Treatment,Replicate,TreatNum,Type,CfuMl
11,Mix,1,3,Smooth,6.6596716816
12,Mix,2,3,Smooth,6.3094631633
14,Mix,4,3,Smooth,5.8376705433
15,Mix,5,3,Smooth,5.9140491786
6,Rugose,1,2,Smooth,0
7,Rugose,2,2,Smooth,0
8,Rugose,3,2,Smooth,0
9,Rugose,4,2,Smooth,0
10,Rugose,5,2,Smooth,0
2,Smooth,2,1,Smooth,3.3010299957
3,Smooth,3,1,Smooth,3.3010299957
4,Smooth,4,1,Smooth,3.3010299957
5,Smooth,5,1,Smooth,4.8239087409
11,Mix,1,3,Rugose,6.5439736017
12,Mix,2,3,Rugose,6.6896744049
14,Mix,4,3,Rugose,5.7312152123
15,Mix,5,3,Rugose,5.7778294315
6,Rugose,1,2,Rugose,6.6368220976
7,Rugose,2,2,Rugose,6.7047223332
8,Rugose,3,2,Rugose,6.5563025008
9,Rugose,4,2,Rugose,5.7970365945
10,Rugose,5,2,Rugose,3.9700367766
2,Smooth,2,1,Rugose,0
3,Smooth,3,1,Rugose,0
4,Smooth,4,1,Rugose,0
5,Smooth,5,1,Rugose,0
11,Mix,1,3,Total,6.9066941113
12,Mix,2,3,Total,6.8409420802
14,Mix,4,3,Total,6.088726564
15,Mix,5,3,Total,6.1522883444
6,Rugose,1,2,Total,6.6368220976
7,Rugose,2,2,Total,6.7047223332
8,Rugose,3,2,Total,6.5563025008
9,Rugose,4,2,Total,5.7970365945
10,Rugose,5,2,Total,3.9700367766
2,Smooth,2,1,Total,3.3010299957
3,Smooth,3,1,Total,3.3010299957
4,Smooth,4,1,Total,3.3010299957
5,Smooth,5,1,Total,4.8239087409
