Media,Replicate,Frac_Rugose
0.25,0,0.0725
0.25,1,0.0
0.25,2,0.0
0.25,3,0.1538
0.25,4,0.0
0.25,5,0.0
0.25,6,0.1607
0.5,0,0.0
0.5,1,0.9639
0.5,2,0.0
0.5,3,0.0105
0.5,4,0.0
0.5,5,0.0
0.75,0,0.9936
0.75,1,0.4918
0.75,2,1.0
0.75,3,0.0625
0.75,4,0.1053
0.75,5,0.25
1.0,0,0.359
1.0,1,0.5
1.0,2,1.0
1.0,3,1.0
1.0,4,1.0
1.0,5,0.5
1.25,0,0.8649
1.25,1,1.0
1.25,2,0.95
1.25,3,0.9231
1.25,4,1.0
1.25,5,0.7273
1.25,6,0.9718
1.25,7,0.9467
1.5,0,1.0
1.5,1,0.9873
1.5,2,0.9091
1.5,3,1.0
1.5,4,1.0
1.75,0,0.5432
1.75,1,0.8864
1.75,2,0.9487
1.75,3,1.0
1.75,4,1.0
1.75,5,1.0
1.75,6,0.6757
2.0,0,1.0
2.0,1,0.7273
2.0,2,0.0
2.0,3,1.0
2.0,4,1.0
2.0,5,0.4124
2.0,6,1.0
2.0,7,0.6
